TYPE_NAME=Lib_Book;KEYS=name;;
name;description; Author
"Основание"; "Первая книга фантастической трилогии «Основание» Айзека Азимова, впоследствии трилогия была расширена двумя приквелами и двумя сиквелами.";"name=""Айзек Азимов"""
"Конец Вечности"; "Роман американского писателя-фантаста Айзека Азимова. Роман описывает деятельность организации под названием Вечность, существующей вне времени.";"name=""Айзек Азимов"""
"Я, робот"; "Сборник научно-фантастических рассказов, опубликованный в 1950 году и оказавший большое влияние на современную научно-фантастическую литературу";"name=""Айзек Азимов"""
"Стальные пещеры"; "Детективно-фантастический роман Айзека Азимова, посвящённый приключениям землянина Элайджа Бейли и робота космонитов Дэниела Оливо.";"name=""Айзек Азимов"""
"Приход ночи"; "Рассказ Айзека Азимова, вышедший в 1941 году. Считается одним из лучших когда-либо опубликованных научно-фантастических рассказов.";"name=""Айзек Азимов"""

"Политика"; "Трактат о государстве, содержащий начала социальной и политической философии. Трактат написан в последние годы жизни Аристотеля в Афинах, попавших под влияние Македонии.";"name=""Аристотель"""
"Метафизика"; "Известнейший сборник сочинений Аристотеля и первая основополагающая работа одноимённого раздела философии.";"name=""Аристотель"""
"Поэтика"; "Трактат Аристотеля, посвящённый теории драмы. Согласно античным каталогам, состоял из двух частей, из которых до нас дошла лишь первая.";"name=""Аристотель"""
"Риторика"; "Трактат, который рассматривает роль речи как важного инструмента общественного взаимодействия и государственного устроения.";"name=""Аристотель"""
"О душе"; "Сочинение Аристотеля, посвященное теме души. В отличие от своего учителя Платона, Аристотель настаивает, что многие состояния души зависят от состояния тела.";"name=""Аристотель"""
